"","id_parcel","logerror","date","type_aircon","type_architectural","area_basement","num_bathroom","num_bedroom","type_framing","type_quality","num_bathroom_calc","type_deck","area_firstfloor_finished","area_total_calc","area_live_finished","area_liveperi_finished","area_total_finished","area_unknown","area_base","fips","num_fireplace","num_bath","num_garage","area_garage","flag_tub","type_heating","latitude","longitude","area_lot","num_pool","area_pool","pooltypeid10","pooltypeid2","pooltypeid7","zoning_landuse_county","type_zoning_landuse","zoning_property","rawcensustractandblock","region_city","region_county","region_neighbor","region_zip","num_room","type_story","num_75_bath","type_material","num_unit","area_patio","area_shed","build_year","num_story","flag_fireplace","tax_building","tax_total","tax_year","tax_land","tax_property","tax_delinquency","tax_delinquency_year","censustractandblock"
"1",10711738,0.0276,"2016-08-02",1,NA,NA,3,4,NA,4,3,NA,NA,2538,2538,NA,NA,NA,NA,6037,NA,3,NA,NA,0,2,34220381,-118620802,11012,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.32102,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1978,NA,0,245180,567112,2015,321932,7219.18,0,NA,60371132321020
"2",10711755,-0.0182,"2016-08-02",1,NA,NA,3,3,NA,4,3,NA,NA,1589,1589,NA,NA,NA,NA,6037,NA,3,NA,NA,0,2,34222040,-118622240,11010,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321019,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,0,254691,459844,2015,205153,6901.09,0,NA,60371132321019
"3",10711805,-0.1009,"2016-05-03",1,NA,NA,2,3,NA,4,2,NA,NA,2411,2411,NA,NA,NA,NA,6037,NA,2,NA,NA,0,2,34220427,-118618549,11723,1,NA,NA,NA,1,"0101",261,"LARE9",60371132.32102,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1973,NA,0,235114,384787,2015,149673,4876.61,0,NA,60371132321020
"4",10711816,-0.0121,"2016-04-05",1,NA,NA,2,4,NA,4,2,NA,NA,2232,2232,NA,NA,NA,NA,6037,NA,2,NA,NA,0,2,34222390,-118618631,9002,NA,NA,NA,NA,NA,"0100",261,"LARE9",60371132.32102,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1973,NA,0,262309,437176,2015,174867,5560.07,0,NA,60371132321020
"5",10711858,-0.0481,"2016-07-15",1,NA,NA,2,4,NA,4,2,NA,NA,1882,1882,NA,NA,NA,NA,6037,NA,2,NA,NA,0,2,34222544,-118617961,9002,1,NA,NA,NA,1,"0101",261,"LARE9",60371132.321007,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1973,NA,0,232037,382055,2015,150018,4878.25,0,NA,60371132321007
"6",10711910,0.2897,"2016-08-30",NA,NA,NA,2,3,NA,4,2,NA,NA,1477,1477,NA,NA,NA,NA,6037,NA,2,NA,NA,0,2,34221864,-118615739,11285,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321008,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1960,NA,0,57098,76860,2015,19762,1116.46,0,NA,60371132321008
"7",10712086,0.004,"2016-02-12",1,NA,NA,2,4,NA,4,2,NA,NA,1850,1850,NA,NA,NA,NA,6037,NA,2,NA,NA,0,2,34226039,-118618527,9089,1,NA,NA,NA,1,"0101",261,"LARE9",60371132.321003,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1974,NA,0,206239,384120,2015,177881,4867.79,0,NA,60371132321003
"8",10712162,-0.0121,"2016-09-27",1,NA,NA,3,3,NA,4,3,NA,NA,3193,3193,NA,NA,NA,NA,6037,NA,3,NA,NA,0,2,34226833,-118612917,15577,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1964,NA,0,464000,695000,2015,231000,9793.72,0,NA,60371132321000
"9",10712163,0.0139,"2016-08-23",1,NA,NA,3,4,NA,4,3,NA,NA,2421,2421,NA,NA,NA,NA,6037,NA,3,NA,NA,0,2,34226843,-118612422,10584,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1962,NA,0,302104,618279,2015,316175,7798.07,0,NA,60371132321000
"10",10712195,-0.045,"2016-05-11",1,NA,NA,3,3,NA,4,3,NA,NA,1678,1678,NA,NA,NA,NA,6037,NA,3,NA,NA,0,2,34223689,-118612746,14948,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.32101,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1961,NA,0,95000,475000,2015,380000,6074.55,0,NA,60371132321010
