"","id_parcel","logerror","date"
"1",11016594,0.0276,"2016-01-01"
"2",14366692,-0.1684,"2016-01-01"
"3",12098116,-0.004,"2016-01-01"
"4",12643413,0.0218,"2016-01-02"
"5",14432541,-0.005,"2016-01-02"
"6",11509835,-0.2705,"2016-01-02"
"7",12286022,0.044,"2016-01-02"
"8",17177301,0.1638,"2016-01-02"
"9",14739064,-0.003,"2016-01-02"
"10",14677559,0.0843,"2016-01-03"
"11",10854446,0.3825,"2016-01-03"
"12",11672170,-0.0161,"2016-01-03"
"13",10949761,0.0344,"2016-01-03"
"14",14665244,0.0816,"2016-01-03"
"15",14148540,-0.045,"2016-01-03"
"16",14057104,0.002,"2016-01-03"
"17",17296797,0.044,"2016-01-03"
"18",12524288,-0.0419,"2016-01-03"
"19",14091502,-0.002,"2016-01-03"
"20",10815909,0.01,"2016-01-03"
"21",12453853,-0.0387,"2016-01-03"
"22",14253461,0.0218,"2016-01-03"
"23",14001034,0.0149,"2016-01-03"
"24",11458863,0.1151,"2016-01-03"
"25",13957980,-0.1696,"2016-01-03"
"26",12752047,-0.044,"2016-01-03"
"27",11188425,-0.0747,"2016-01-03"
"28",14646051,0.008,"2016-01-03"
"29",10805063,0.001,"2016-01-03"
"30",12524725,-0.0534,"2016-01-03"
"31",11104966,-0.0398,"2016-01-03"
"32",11624877,-0.0294,"2016-01-03"
"33",12440314,0.0208,"2016-01-03"
"34",12037577,-0.0233,"2016-01-03"
"35",11024002,0.0266,"2016-01-03"
"36",10777209,-0.0222,"2016-01-03"
"37",14022628,-0.0274,"2016-01-03"
"38",14195954,-0.001,"2016-01-03"
"39",12339438,0.0526,"2016-01-03"
"40",14022972,-0.0481,"2016-01-03"
"41",11921507,0.0411,"2016-01-03"
"42",14055759,0.0237,"2016-01-03"
"43",14337898,-0.006,"2016-01-03"
"44",10984360,0.0411,"2016-01-03"
"45",11708989,-0.091,"2016-01-03"
"46",14008449,0.045,"2016-01-03"
"47",10812783,0.0402,"2016-01-03"
"48",14389517,0.045,"2016-01-03"
"49",11874881,-0.0367,"2016-01-03"
"50",12859348,-0.0408,"2016-01-03"
"51",12885665,0.0159,"2016-01-03"
"52",12934834,0.006,"2016-01-03"
"53",14077187,-0.0171,"2016-01-03"
"54",14693306,0.0344,"2016-01-03"
"55",13892813,0.0639,"2016-01-03"
"56",11510907,0.0639,"2016-01-03"
"57",11519155,0.0573,"2016-01-03"
"58",14365990,0.0276,"2016-01-03"
"59",11403600,-0.1497,"2016-01-03"
"60",12086710,0.076,"2016-01-04"
"61",14030226,-0.0481,"2016-01-04"
